,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
7766,2019-06-01,7657232,순샘 베리 용기 3L,8801046308561,발주가능,0,31,4354,6068099,18순샘 베리 3L (친),주방세제,4,7.75,561.8064516129032
7767,2019-06-01,7657241,순샘 라임 용기 3L,8801046308547,발주가능,1546,265,2540,6068098,18순샘 라임 3L (친),주방세제,4,66.25,38.339622641509436
7768,2019-06-01,7777998,2080마운틴핑크솔트 120gx3입,8801046311493,발주가능,0,2,0,6067364,18전2080퓨어마운틴솔트 핑크120gx3입,덴탈케어,14,0.14285714285714285,0.0
7769,2019-06-01,7777999,2080 9모션 샤프 4입,8801046299876,발주가능,0,55,380,5009150,182080 9모션샤프 4입(지함),덴탈케어,8,6.875,55.27272727272727
7770,2019-06-01,8058296,샤워메이트 유자 바디워시 1.2Kg 용기,8801046307472,발주가능,0,579,4898,6075414,19샤워메이트내추럴 1.2kg유자책,F&B,8,72.375,67.67530224525044
7771,2019-06-01,8058297,샤워메이트 클린코튼 바디워시 1.2Kg 용기,8801046307458,발주가능,0,346,5227,6075412,19샤워메이트내추럴 1.2kg클린코튼책,F&B,8,43.25,120.85549132947978
7772,2019-06-01,8058298,샤워메이트 크랜베리 바디워시 1.2Kg 용기,8801046307465,발주가능,0,169,5722,6075413,19샤워메이트내추럴 1.2kg크랜베리책,F&B,8,21.125,270.8639053254438
7773,2019-06-01,8171053,Pack_2080키즈 2스텝 칫솔 1입*12ea 미니특공대 랜덤 발송,28801046288263,발주가능,0,123,2223,5008745,172080키즈 2스텝 칫솔 1입_미니특,덴탈케어,24,5.125,433.7560975609756
7774,2019-06-01,8171054,Pack_2080키즈 3스텝 칫솔 1입*12ea 미미 랜덤 발송,28801046284494,발주가능,0,67,1784,5008751,172080키즈 3스텝 칫솔 1입_미미,덴탈케어,24,2.7916666666666665,639.044776119403
7775,2019-06-01,8171055,Pack_2080키즈 2스텝 칫솔 1입*12ea 캐리 랜덤 발송,28801046261242,발주가능,0,94,1019,5008747,172080키즈 2스텝 칫솔 1입_캐리,덴탈케어,24,3.9166666666666665,260.17021276595744
